Authors,Article Title,DOI,taxon,bio_facet,archipelago,pattern,resolution,notes
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Birds,taxonomic,Azores,homogenization,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Birds,taxonomic,Madeira,homogenization,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Birds,taxonomic,Cape_Verde,mixed,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Birds,taxonomic,Canary_Islands,mixed,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Invertebrates,taxonomic,Cape_Verde,differentation,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Invertebrates,taxonomic,Azores,homogenization,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Invertebrates,taxonomic,Canary_Islands,mixed,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Invertebrates,taxonomic,Madeira,mixed,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Mammals,taxonomic,Azores,homogenization,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
"Otto, R; Fernández-Lugo, S; Blandino, C; Manganelli, G; Chiarucci, A; Fernández-Palacios, JM","Biotic homogenization of oceanic islands depends on taxon, spatial scale and the quantification approach",10.1111/ecog.04454,Mammals,taxonomic,Canary_Islands,homogenization,Within archipelago,"Results provided by Rudi Otto - pairwise analysis, used >70% of pairwise comparison to = homogenisation or differentiation "
